,accuracy,C,gamma,knn
52,0.7841806125670981,5.0,scale,10.0
49,0.7835491000947269,3.0,scale,10.0
16,0.783391221976634,5.0,scale,3.0
34,0.7829175876223555,5.0,scale,5.0
13,0.782443953268077,3.0,scale,3.0
31,0.7822860751499842,3.0,scale,5.0
46,0.78149668455952,2.0,scale,10.0
10,0.7807072939690559,2.0,scale,3.0
28,0.780549415850963,2.0,scale,5.0
43,0.775023681717714,1.0,scale,10.0
25,0.7745500473634355,1.0,scale,5.0
7,0.7739185348910641,1.0,scale,3.0
22,0.7666561414587938,0.5,scale,5.0
40,0.7663403852226082,0.5,scale,10.0
4,0.7663403852226082,0.5,scale,3.0
37,0.7530786233028103,0.1,scale,10.0
19,0.7530786233028103,0.1,scale,5.0
1,0.7530786233028103,0.1,scale,3.0
27,0.7502368171771393,2.0,0.1,5.0
30,0.7502368171771393,3.0,0.1,5.0
45,0.7502368171771393,2.0,0.1,10.0
48,0.7502368171771393,3.0,0.1,10.0
33,0.7502368171771393,5.0,0.1,5.0
51,0.7502368171771393,5.0,0.1,10.0
26,0.7500789390590464,1.0,auto,5.0
44,0.7500789390590464,1.0,auto,10.0
24,0.7500789390590464,1.0,0.1,5.0
42,0.7500789390590464,1.0,0.1,10.0
15,0.7500789390590464,5.0,0.1,3.0
12,0.7500789390590464,3.0,0.1,3.0
9,0.7500789390590464,2.0,0.1,3.0
8,0.7500789390590464,1.0,auto,3.0
6,0.7500789390590464,1.0,0.1,3.0
41,0.7499210609409536,0.5,auto,10.0
39,0.7499210609409536,0.5,0.1,10.0
38,0.7499210609409536,0.1,auto,10.0
0,0.7499210609409536,0.1,0.1,3.0
36,0.7499210609409536,0.1,0.1,10.0
5,0.7499210609409536,0.5,auto,3.0
32,0.7499210609409536,3.0,auto,5.0
29,0.7499210609409536,2.0,auto,5.0
23,0.7499210609409536,0.5,auto,5.0
21,0.7499210609409536,0.5,0.1,5.0
20,0.7499210609409536,0.1,auto,5.0
18,0.7499210609409536,0.1,0.1,5.0
35,0.7499210609409536,5.0,auto,5.0
2,0.7499210609409536,0.1,auto,3.0
3,0.7499210609409536,0.5,0.1,3.0
50,0.7497631828228607,3.0,auto,10.0
53,0.7497631828228607,5.0,auto,10.0
47,0.7497631828228607,2.0,auto,10.0
11,0.7496053047047679,2.0,auto,3.0
14,0.7496053047047679,3.0,auto,3.0
17,0.7496053047047679,5.0,auto,3.0
